Year;Region_Code;Region_Name;Province;Location;Level_Original;Foreign_Travelers;OFW;Domestic_Travelers;Total;Level;Latitude;Longitude
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;Narra;City/Municipality;83;0;3027;3110;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Rizal;Rizal;Province;66;0;762;828;Province;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Rizal;San Vicente;City/Municipality;12360;0;2745;15105;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Rizal;Taytay;City/Municipality;4107;0;1305;5412;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Romblon;Romblon;Province;3600;4491;50563;58654;Province;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Romblon;Puerto Princesa City;City/Municipality;240447;0;561613;802060;City/Municipality;10,7202;121,0794
2015;Region V;Region V (BICOL REGION);;Region V (BICOL REGION);Region;845778;22104;3658125;4526007;Region;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Albay;Albay;Province;374949;0;1042646;1417595;Province;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Albay;Legazpi City;City/Municipality;361166;0;606230;967396;City/Municipality;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Albay;Others;City/Municipality;13783;0;436416;450199;City/Municipality;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Camarines Norte;Camarines Norte;Province;32972;17499;239189;289660;Province;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Camarines Sur;Camarines Sur;Province;393014;1232;1668223;2062469;Province;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Camarines Sur;Iriga City;City/Municipality;5365;1232;28352;34949;City/Municipality;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Camarines Sur;Naga City;City/Municipality;181018;0;876154;1057172;City/Municipality;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Catanduanes;Catanduanes;Province;9887;2193;164825;176905;Province;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Masbate Province;Masbate Province;Province;2713;273;61744;64730;Province;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Masbate Province;Masbate City;City/Municipality;3925;162;194033;198120;City/Municipality;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Sorsogon Province;Sorsogon Province;Province;11870;0;169962;181832;Province;13,4213;123,4136
2015;Region V;Region V (BICOL REGION);Sorsogon Province;Sorsogon City;City/Municipality;16448;745;117503;134696;City/Municipality;13,4213;123,4136
2015;Region VI;Region VI (WESTERN VISAYAS);;Region VI (WESTERN VISAYAS);Region;937021;50350;3644960;4632331;Region;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Aklan;Aklan;Province;779145;42529;928514;1750188;Province;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Aklan;Boracay;City/Municipality;769560;42529;748017;1560106;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Aklan;Kalibo;City/Municipality;9356;0;166929;176285;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Aklan;New Washington;City/Municipality;218;0;8912;9130;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Aklan;Numancia;City/Municipality;11;0;4656;4667;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Antique;Province;4134;0;46032;50166;Province;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Anini-y;City/Municipality;105;0;7394;7499;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Belison;City/Municipality;29;0;36;65;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Culasi;City/Municipality;2812;0;17409;20221;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Libertad;City/Municipality;87;0;9221;9308;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Pandan;City/Municipality;1019;0;3737;4756;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Patnogon;City/Municipality;15;0;4676;4691;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;San Jose;City/Municipality;67;0;3313;3380;City/Municipality;11,005;122,5373
2015;Region VI;Region VI (WESTERN VISAYAS);Antique;Tobias Fornier;City/Municipality;0;0;246;246;City/Municipality;11,005;122,5373
